KEY  LON  LAT  LON_lim  LAT_lim  num_datapoint  oldest_age  youngest_age length_age
1231  265.22   75.38    0.00    0.00  1   5.409   5.409   0.000
1232  263.91   75.06    0.12    0.05  2   8.399   7.484   0.915
1233  265.14   74.72    0.40    0.09  27  10.210   6.209   4.001
1234  264.26   74.60    0.11    0.09  3   9.918   5.671   4.247
1235  262.46   74.57    0.19    0.03  6  10.401   5.016   5.385
1236  263.13   75.37    0.34    0.06  8   9.886   5.953   3.933
1237  261.09   75.23    2.31    0.75  12  10.183   5.165   5.018
1238  261.39   75.76    3.54    0.48  22  10.557   5.041   5.516
1239  260.67   76.30    3.23    0.63  28  10.823   6.324   4.499
1240  259.95   76.45    0.00    0.00  5   8.836   8.114   0.722
1241  257.67   75.58    0.86    0.07  4  10.719   8.640   2.079
1242  255.41   75.09    0.38    0.05  2  10.748  10.344   0.404
1244  257.60   76.04    2.04    0.38  6  10.918   7.306   3.612
1245  256.13   76.49    1.62    0.18  5  11.796   5.730   6.066
1247  255.97   77.15    0.00    0.00  1  11.453  11.453   0.000
1248  254.73   77.43    0.95    0.37  6  11.804   8.721   3.083
1249  250.48   75.65    2.87    0.32  4  11.617   7.485   4.132
1250  251.47   76.13    1.09    0.58  11  11.321   5.620   5.701
1252  253.71   75.31    1.65    0.96  5  10.539   6.176   4.363
1253  249.30   74.73    3.93    0.64  17  13.315   6.180   7.135
1254  245.90   74.90    1.75    0.20  3  13.175  12.023   1.152
1256  244.63   75.87    3.75    0.92  6  13.317   8.735   4.582
1257  240.73   75.67    0.00    0.00  1   6.772   6.772   0.000
1258  241.38   76.57    5.19    1.42  8  13.348   7.899   5.449
1259  246.20   77.13    0.00    0.00  2  11.129   8.697   2.432
1260  245.85   77.82    0.80    0.21  7  12.255   6.084   6.171
1301  266.06   72.25    0.38    0.34  6  10.122   5.507   4.615
1302  266.46   72.85    0.84    0.14  10  10.114   5.496   4.618
1303  269.02   73.97    0.69    0.08  2  10.049   6.800   3.249
1304  266.30   74.04    0.59    0.17  5   9.907   5.672   4.235
1305  265.08   73.97    0.57    0.40  7  10.563   5.471   5.092
1306  265.11   72.78    1.27    0.37  6   9.997   6.418   3.579
1307  260.72   71.90    0.70    0.10  2   8.477   7.511   0.966
1308  262.37   71.64    0.90    0.09  6   9.413   5.001   4.412
1309  262.27   72.19    0.31    0.06  3  10.029   9.352   0.677
1310  263.44   72.11    0.12    0.21  3   9.928   9.371   0.557
1312  261.53   72.73    0.30    0.21  5   9.860   5.635   4.225
1313  262.97   72.81    0.72    0.28  7   9.860   6.596   3.264
1314  263.04   73.09    0.38    0.14  9  10.253   5.004   5.249
1315  261.84   73.36    0.72    0.30  4  10.316   8.438   1.878
1316  262.55   73.80    0.70    0.13  7  10.823   5.700   5.123
1317  261.77   73.92    0.00    0.00  1  10.126  10.126   0.000
1318  261.51   73.71    0.35    0.16  4  10.511   5.061   5.450
1319  261.23   73.97    0.00    0.00  1   5.485   5.485   0.000
1320  260.18   73.68    1.12    0.12  5  12.088   7.119   4.969
1321  259.34   73.38    0.42    0.14  4  11.142   9.815   1.327
1322  260.33   73.20    0.70    0.23  7  10.450   6.727   3.723
1323  258.03   72.95    0.22    0.31  5  11.654   8.738   2.916
