KEY  LON  LAT  LON_lim  LAT_lim  num_datapoint  oldest_age  youngest_age length_age
1324  257.44   72.87    0.36    0.25  11  11.141   1.310   9.831
1325  254.55   72.13    0.00    0.00  1   9.494   9.494   0.000
1326  255.67   71.38    0.00    0.00  1   1.862   1.862   0.000
1327  254.98   69.95    0.48    0.28  5   9.359   8.563   0.796
1328  254.94   69.13    0.55    0.07  4   8.469   1.952   6.517
1329  253.69   69.46    2.22    0.27  18   9.391   0.973   8.418
1330  251.92   70.30    3.50    0.40  2  10.609   8.631   1.978
1331  251.14   69.10    2.08    0.27  3  10.390   0.511   9.879
1332  249.30   68.73    1.06    0.20  2  10.054   5.624   4.430
1333  246.71   68.64    0.49    0.27  34  10.420   0.282  10.138
1334  246.65   69.19    1.87    0.26  3  10.057   8.116   1.941
1335  244.15   69.32    0.84    0.13  45  10.846   0.537  10.309
1336  243.20   69.65    0.65    0.13  19  12.213   0.174  12.039
1337  242.74   69.98    0.30    0.27  40  12.786   0.121  12.665
1338  243.48   70.16    0.83    0.11  7  11.252   1.065  10.187
1339  244.63   70.26    0.67    0.06  31  11.578   0.600  10.978
1340  246.52   70.25    1.35    0.13  15  11.729   0.593  11.136
1341  247.22   70.58    0.71    0.10  31  11.594   0.600  10.994
1342  246.09   70.69    1.17    0.09  17  10.956   0.734  10.222
1343  243.68   70.65    0.09    0.01  2  10.525   9.701   0.824
1344  242.17   70.76    0.16    0.08  8  12.724   9.378   3.346
1345  241.78   71.06    0.53    0.53  16  12.846   0.372  12.474
1346  243.02   71.44    0.00    0.00  1  11.242  11.242   0.000
1347  241.17   71.69    0.69    0.32  29  13.032   0.228  12.804
1348  241.95   72.25    0.04    0.02  2  12.986  12.682   0.304
1349  243.93   73.12    0.00    0.00  1  12.721  12.721   0.000
1350  246.01   72.95    0.75    0.72  11  13.055   2.203  10.852
1351  249.39   72.70    2.10    0.74  6  13.404   3.422   9.982
1352  252.39   71.93    1.86    0.60  12  11.429   0.599  10.830
1353  252.35   72.97    1.90    0.59  7  11.489   1.111  10.378
1354  254.99   73.56    0.70    0.55  9  10.488   1.246   9.242
1356  243.11   73.25    1.52    0.76  6  12.466   7.473   4.993
