KEY  LON  LAT  LON_lim  LAT_lim  num_datapoint  oldest_age  youngest_age length_age
1201  264.61   77.01    0.30    0.10  5   9.414   0.913   8.501
1245  256.55   76.34    0.00    0.00  1   0.828   0.828   0.000
4061  294.85   47.53    1.29    0.73  14  14.833   0.292  14.541
4027  301.31   51.38    0.03    0.03  2   8.052   0.614   7.438
1251  253.67   76.05    0.00    0.00  1   0.703   0.703   0.000
1250  251.78   76.05    1.87    0.63  9  10.782   0.774  10.008
1246  258.73   76.81    0.08    0.00  3   2.732   0.803   1.929
2009  289.40   76.84    0.75    0.15  5  10.169   0.920   9.249
4026  302.65   51.43    0.79    0.17  35  10.360   0.481   9.879
1602  304.18   52.75    0.17    0.50  5   1.885   0.981   0.904
1684  236.55   69.81    2.07    0.87  17  10.923   0.531  10.392
1601  303.23   51.55    0.28    0.16  14   9.938   0.619   9.319
1180  268.59   78.20    0.62    0.08  5   9.408   0.935   8.473
4025  302.64   50.69    1.01    0.65  37  14.683   0.601  14.082
4080  292.99   45.12    0.64    0.38  16  15.467   0.384  15.083
4001  304.26   51.50    1.34    0.53  47  10.736   0.241  10.495
4081  292.42   44.65    0.35    0.08  12   2.948   0.154   2.794
4083  292.33   44.60    0.62    0.25  16  10.841   0.154  10.687
4024  302.21   49.92    0.27    0.27  15  14.690   0.124  14.566
4068  298.12   47.30    0.07    0.15  6  10.783   0.585  10.198
4079  293.75   45.17    0.34    0.18  10  14.913   0.139  14.774
4082  291.99   44.43    0.01    0.00  4  10.841   0.586  10.255
4085  290.18   43.72    0.40    0.12  14  10.384   0.143  10.241
4087  290.36   43.83    1.34    0.73  16   9.898   0.143   9.755
1133  285.36   78.64    0.91    0.25  20   9.735   0.706   9.029
1630  282.91   57.82    2.88    1.13  14   7.828   1.025   6.803
1625  284.18   62.21    1.04    0.37  39   8.704   1.508   7.196
1640  276.25   54.32    4.05    1.88  10   7.814   1.112   6.702
1624  285.77   62.66    0.28    0.04  6   7.990   1.814   6.176
1622  287.25   61.98    0.92    0.62  21   9.350   1.186   8.164
1652  277.39   68.36    0.30    0.11  6   6.876   1.475   5.401
1483  284.91   69.21    1.82    0.34  11   7.361   1.634   5.727
1466  294.43   62.90    0.95    0.40  19  12.607   1.433  11.174
1493  272.91   70.42    1.87    0.32  9   9.636   1.061   8.575
1497  274.98   70.89    0.40    0.20  7   7.519   1.746   5.773
1495  272.34   70.92    0.97    0.08  9   9.484   1.909   7.575
1614  296.18   59.34    0.39    0.06  5  10.114   1.252   8.862
1502  270.43   71.39    0.75    0.15  7   9.286   1.887   7.399
1674  252.62   66.63    0.84    0.52  10   8.891   1.423   7.468
1612  297.03   58.56    0.57    0.37  12   8.698   1.120   7.578
1672  252.86   67.92    2.50    1.29  12   9.922   1.946   7.976
1328  255.01   69.14    0.40    0.05  3   8.469   1.952   6.517
1446  295.08   68.03    0.30    0.10  8  11.507   1.105  10.402
1422  281.06   71.93    0.98    0.13  5   9.132   1.975   7.157
1307  260.65   71.70    0.97    0.58  5   8.477   1.545   6.932
1415  279.60   72.80    0.32    0.17  25  10.038   1.087   8.951
1306  264.96   72.82    1.27    0.20  12   9.997   1.873   8.124
1326  255.67   71.38    0.00    0.00  1   1.862   1.862   0.000
1676  248.55   67.66    1.33    0.05  4  10.473   1.758   8.715
1413  277.03   73.66    0.13    0.07  5   9.405   1.214   8.191
1315  262.21   73.36    1.97    0.40  9  10.316   1.123   9.193
1303  269.37   73.95    0.00    0.03  3  10.049   1.513   8.536
1304  266.44   74.00    0.34    0.09  4   9.907   1.325   8.582
1324  257.46   72.86    0.26    0.23  7  11.141   1.310   9.831
1318  261.51   73.71    0.35    0.17  4  10.511   1.448   9.063
1219  268.65   74.64    0.14    0.09  6  10.525   1.999   8.526
1220  268.01   74.91    0.30    0.16  17   9.936   1.318   8.618
1234  264.30   74.62    0.23    0.05  4   9.918   1.294   8.624
4052  291.32   48.37    0.81    0.38  42  14.762   1.156  13.606
1354  255.03   73.55    0.70    0.53  6  10.488   1.246   9.242
4054  293.64   49.16    0.37    0.08  14  16.563   1.397  15.166
1353  252.35   72.97    1.90    0.59  7  11.489   1.111  10.378
1231  265.30   75.38    0.00    0.00  1   1.604   1.604   0.000
1237  261.27   75.26    3.05    0.47  11  10.183   1.025   9.158
1338  243.85   70.20    0.01    0.02  3   9.636   1.065   8.571
1227  264.84   76.35    0.99    0.14  6   9.209   1.355   7.854
4028  296.42   49.58    1.52    0.73  28  15.812   1.015  14.797
1238  261.17   75.81    3.34    0.49  15  10.557   1.739   8.818
1204  267.63   76.58    0.42    0.08  5   9.042   1.674   7.368
1203  266.50   76.79    0.07    0.05  2   9.264   1.045   8.219
1202  265.61   76.92    0.97    0.11  10   9.498   1.131   8.367
1159  277.71   78.63    1.91    0.97  5   8.230   1.715   6.515
4065  295.98   46.74    1.64    0.80  10  14.904   1.495  13.409
1249  248.95   75.72    3.29    0.29  4   9.520   1.069   8.451
1626  282.26   62.19    1.05    1.09  17   8.072   2.368   5.704
1631  280.79   56.66    0.01    0.00  4   3.077   2.330   0.747
1649  273.71   66.59    1.52    0.34  9   7.729   2.903   4.826
1658  275.22   68.82    0.89    0.35  9   7.478   2.541   4.937
1618  291.64   58.05    1.70    0.57  5   7.476   2.394   5.082
1489  276.89   70.02    0.00    0.00  1   2.925   2.925   0.000
1490  275.02   70.13    0.60    0.06  7   6.855   2.104   4.751
1485  282.34   70.20    0.87    0.35  12   6.305   2.465   3.840
1454  294.23   66.14    0.36    0.03  12   9.773   2.533   7.240
1496  273.44   70.95    0.25    0.08  6   7.926   2.492   5.434
1500  272.48   71.14    0.67    0.25  10   8.356   2.022   6.334
1498  274.28   71.12    0.23    0.05  8   4.842   2.042   2.800
1666  263.94   70.40    0.74    0.07  4   9.455   2.105   7.350
1434  289.98   69.62    0.01    0.01  10   8.717   2.764   5.953
1433  289.67   69.89    0.88    0.38  14   9.410   2.717   6.693
1443  293.26   68.34    0.61    0.55  9  10.158   2.152   8.006
1503  270.12   72.03    0.49    0.18  13  10.326   2.052   8.274
1423  282.01   71.80    0.63    0.16  4   7.192   2.734   4.458
1426  285.12   71.39    0.88    0.30  9   9.701   2.848   6.853
1451  297.23   67.00    0.00    0.00  1   2.612   2.612   0.000
1505  270.33   72.59    0.34    0.26  16  10.861   2.824   8.037
1317  262.11   74.01    0.53    0.19  3  10.126   2.236   7.890
1320  260.14   73.69    1.12    0.17  6  12.088   2.904   9.184
1212  275.44   75.66    0.29    0.14  16  10.696   2.533   8.163
4056  294.72   49.24    0.41    0.04  17  15.291   2.547  12.744
1243  262.75   75.51    0.03    0.02  2   2.580   2.198   0.382
1144  274.92   76.49    0.20    0.25  6  10.146   2.848   7.298
1350  245.98   72.98    0.75    0.66  5  13.055   2.203  10.852
1136  278.25   77.29    2.24    0.31  26  10.320   2.024   8.296
1151  273.35   77.85    0.82    0.06  6   9.459   2.347   7.112
1255  246.53   76.10    0.00    0.00  1   2.413   2.413   0.000
1358  235.74   71.89    1.74    1.40  7   9.900   2.306   7.594
1190  258.97   78.13    4.22    0.98  14   9.950   2.952   6.998
4063  295.26   45.74    0.28    0.37  4   9.796   2.650   7.146
4084  291.16   44.33    0.03    0.24  3   9.271   2.136   7.135
1641  272.42   55.24    1.42    1.17  4   7.980   3.212   4.768
1480  282.96   63.52    0.51    0.16  3   8.569   3.362   5.207
1655  274.70   69.70    0.24    0.09  7   9.625   3.081   6.544
1669  262.22   68.37    0.00    0.00  1   3.594   3.594   0.000
1499  273.53   71.09    0.54    0.16  7   7.581   3.211   4.370
1440  290.68   68.85    0.50    0.16  6   6.908   3.388   3.520
5142  289.70   52.74    0.00    0.30  4   6.277   3.803   2.474
1439  290.93   68.96    0.10    0.03  5  10.023   3.703   6.320
1435  291.60   69.50    1.29    0.08  5   9.660   3.958   5.702
1639  276.34   51.47    2.25    0.86  4   8.276   4.411   3.865
1482  287.65   65.60    1.65    0.71  4   7.485   4.855   2.630
1638  277.46   50.27    2.75    0.57  15   8.464   4.631   3.833
1657  275.81   69.68    1.23    0.47  7   7.204   4.080   3.124
1470  293.64   62.36    0.58    0.40  26  11.031   4.722   6.309
1637  281.76   50.58    1.99    0.61  8   7.729   4.227   3.502
1492  273.33   70.06    0.22    0.05  5   6.958   4.720   2.238
5144  289.25   53.51    0.00    0.00  2   8.826   4.482   4.344
1486  280.75   70.57    0.00    0.00  1   4.847   4.847   0.000
1441  291.36   68.74    0.03    0.07  5  10.360   4.116   6.244
1442  291.66   68.56    0.81    0.10  6   9.289   4.058   5.231
1430  288.53   70.09    0.25    0.20  3   8.162   4.035   4.127
1611  297.09   58.11    0.58    0.23  2   7.373   4.722   2.651
1479  283.50   64.37    0.95    0.57  6   8.646   5.831   2.815
1656  274.77   69.37    0.36    0.33  12   9.813   5.250   4.563
1646  277.00   62.50    0.00    0.00  1   6.375   6.375   0.000
1627  280.00   62.00    0.00    0.00  3   7.722   6.971   0.751
1481  282.01   63.32    0.25    0.31  6   8.019   6.426   1.593
1648  269.77   66.17    0.00    0.00  1   6.015   6.015   0.000
1668  263.70   66.13    0.00    0.00  1   6.604   6.604   0.000
1477  289.55   62.62    0.40    0.12  8   8.871   6.981   1.890
1650  277.79   67.88    0.15    0.06  3   7.472   6.765   0.707
1659  274.24   68.24    0.02    0.06  2   6.975   6.606   0.369
1651  277.30   68.15    0.50    0.28  3   7.320   6.404   0.916
1491  273.88   70.12    0.00    0.00  1   6.381   6.381   0.000
1459  294.95   63.67    0.10    0.24  4  10.257   6.268   3.989
1438  291.66   68.98    0.69    0.06  3   9.611   6.211   3.400
1467  282.25   63.95    0.00    0.00  1   7.931   7.931   0.000
1661  269.32   69.03    1.29    0.39  3  10.236   7.950   2.286
1501  271.35   71.31    0.36    0.02  2   8.752   7.162   1.590
1448  295.00   67.38    0.00    0.00  1   7.087   7.087   0.000
1436  291.85   69.30    0.07    0.02  4  10.045   7.838   2.207
1432  291.30   69.95    0.43    0.18  5   9.118   7.327   1.791
1431  291.07   70.43    0.57    0.57  7  13.378   7.218   6.160
1424  283.67   71.75    0.00    0.00  1   7.358   7.358   0.000
1417  278.77   72.30    0.11    0.08  5   8.335   7.289   1.046
1308  262.64   71.62    0.02    0.07  3   9.413   7.739   1.674
1425  285.73   71.91    0.09    0.02  3   8.846   7.893   0.953
1411  274.96   73.05    0.05    0.00  7  18.880   7.567  11.313
1412  275.71   73.16    0.14    0.11  2   9.732   7.583   2.149
1416  280.91   73.02    3.66    0.41  5  11.053   7.192   3.861
1403  274.88   73.63    0.01    0.00  2  10.761   7.771   2.990
1401  272.95   73.78    0.21    0.08  9  10.575   7.670   2.905
4031  293.64   50.24    1.34    0.60  34  12.176   7.280   4.896
4035  288.58   48.46    1.59    0.31  19  11.686   7.836   3.850
1608  300.27   55.19    2.12    0.14  4  11.810   7.287   4.523
1233  265.15   74.72    0.32    0.07  23  10.210   7.304   2.906
1679  244.74   68.41    0.60    0.37  15  12.922   7.827   5.095
1681  244.11   68.72    1.52    0.14  5  11.190   7.751   3.439
1209  270.97   75.45    1.36    0.20  4   9.705   7.398   2.307
1232  263.91   75.06    0.12    0.05  2   8.399   7.484   0.915
1211  274.36   75.56    0.44    0.03  8   8.757   7.476   1.281
4039  284.24   45.52    1.25    0.43  36  13.437   7.132   6.305
4048  288.37   46.72    1.78    0.53  37  13.882   7.442   6.440
1478  288.65   63.08    0.00    0.00  1   8.381   8.381   0.000
1475  291.53   62.27    0.36    0.06  3   9.195   8.297   0.898
1462  291.80   63.24    0.38    0.05  10  10.025   8.303   1.722
1474  292.21   62.22    0.13    0.01  2   8.847   8.035   0.812
1473  292.63   62.13    0.02    0.01  4  10.563   8.548   2.015
1464  293.52   63.06    0.02    0.02  4  10.436   8.904   1.532
1670  257.17   66.90    1.29    0.16  2   8.576   8.220   0.356
1615  295.59   59.91    0.43    0.30  7   9.931   8.679   1.252
1673  252.75   67.34    0.66    0.17  2   8.745   8.710   0.035
1450  295.35   66.95    0.00    0.00  1   8.210   8.210   0.000
1427  287.12   71.35    0.00    0.00  1   8.914   8.914   0.000
1327  254.98   69.95    0.48    0.28  5   9.359   8.563   0.796
1420  279.84   72.45    0.69    0.01  2  10.569   8.008   2.561
1428  288.14   71.44    0.95    0.40  3  11.387   8.434   2.953
1330  251.92   70.30    3.50    0.40  2  10.609   8.631   1.978
1402  274.53   73.82    0.30    0.00  10  10.943   8.979   1.964
1677  246.61   67.66    0.34    0.03  4  11.285   8.304   2.981
1334  246.65   69.19    1.87    0.26  3  10.057   8.116   1.941
4032  291.80   49.27    0.30    0.29  26  11.882   8.191   3.691
1217  271.58   74.80    0.00    0.09  2   9.414   8.905   0.509
4033  291.12   48.83    0.00    0.00  6   9.964   8.366   1.598
1218  269.42   74.90    0.00    0.00  1   8.751   8.751   0.000
1213  276.19   75.78    0.38    0.03  12  10.521   8.604   1.917
1236  263.10   75.37    0.34    0.06  5   9.886   8.000   1.886
1224  268.79   75.76    0.00    0.00  1   8.844   8.844   0.000
4044  286.05   45.64    0.47    0.49  16  13.078   8.937   4.141
1139  280.97   75.88    0.00    0.00  8   9.865   8.419   1.446
4042  285.10   45.17    1.16    0.28  8  13.324   8.378   4.946
4045  286.72   45.36    1.08    0.47  9  10.939   8.126   2.813
4043  285.33   45.51    1.04    0.39  7  13.110   8.495   4.615
1241  257.67   75.58    0.86    0.07  4  10.719   8.640   2.079
4059  293.84   48.12    0.95    0.18  12  14.881   8.293   6.588
1205  269.51   76.77    0.00    0.00  1   8.051   8.051   0.000
1141  277.78   76.83    1.03    0.07  2   9.270   8.908   0.362
1149  271.66   77.03    1.27    0.18  2   9.218   8.266   0.952
1240  259.95   76.45    0.00    0.00  5   8.836   8.114   0.722
2010  286.88   76.72    0.11    0.00  4  10.033   8.526   1.507
1239  260.62   76.32    3.23    0.63  24  10.823   8.126   2.697
1150  270.05   77.27    0.00    0.00  1   8.420   8.420   0.000
1154  275.10   77.56    0.72    0.08  3   8.907   8.447   0.460
1135  278.30   77.56    0.42    0.16  7   9.197   8.090   1.107
1192  265.10   77.67    1.20    0.27  8   9.796   8.069   1.727
1155  274.89   78.17    1.30    0.43  7   9.415   8.210   1.205
1156  273.83   78.26    1.65    0.26  11   9.405   8.450   0.955
1189  262.85   78.40    2.84    0.77  7  10.019   8.174   1.845
1157  273.12   78.57    0.55    0.13  3   9.684   8.769   0.915
1178  270.67   78.34    0.87    0.35  2   9.158   8.876   0.282
1248  254.90   77.41    0.95    0.37  3  10.534   8.721   1.813
1256  244.12   75.47    0.00    0.00  1   8.735   8.735   0.000
1158  274.81   78.84    2.66    0.20  4   8.678   8.059   0.619
1176  272.39   79.41    0.58    0.82  2   8.273   8.127   0.146
1132  283.99   78.87    0.57    0.00  2   8.424   8.163   0.261
1183  266.13   79.02    0.00    0.00  1   8.907   8.907   0.000
1184  268.05   79.16    1.13    0.05  3   9.025   8.261   0.764
1185  269.83   79.27    0.16    0.02  5   9.025   8.037   0.988
1129  284.50   79.06    0.00    0.00  1   8.194   8.194   0.000
1187  268.38   79.36    0.34    0.04  4   8.969   8.078   0.891
1186  269.21   79.39    0.52    0.07  6   9.726   8.185   1.541
1259  246.20   77.13    0.00    0.00  1   8.697   8.697   0.000
1175  272.55   79.52    0.00    0.00  1   8.441   8.441   0.000
