KEY  LON  LAT  LON_lim  LAT_lim  num_datapoint  oldest_age  youngest_age length_age
1626  282.09   61.95    0.63    0.76  7   8.072   2.368   5.704
1627  280.00   62.00    0.00    0.00  3   7.722   6.971   0.751
1628  281.70   60.60    1.80    0.73  13   8.260   0.307   7.953
1629  280.02   59.83    0.18    0.05  11   8.012   0.836   7.176
1630  281.50   58.25    0.00    0.00  4   6.411   1.692   4.719
1641  273.06   55.65    0.00    0.00  1   3.212   3.212   0.000
1642  267.41   57.25    1.13    0.77  6   5.814   0.637   5.177
1643  266.05   58.85    1.08    1.14  16   5.507   0.130   5.377
1644  265.67   61.18    0.77    0.11  19   6.858   0.654   6.204
1645  268.72   63.22    3.67    1.44  9   7.482   0.457   7.025
1646  277.00   62.50    0.00    0.00  1   6.375   6.375   0.000
1647  276.10   64.13    2.54    0.87  16   8.297   0.601   7.696
