KEY  LON  LAT  LON_lim  LAT_lim  num_datapoint  oldest_age  youngest_age length_age
1413  277.03   73.66    0.13    0.07  5   9.405   1.214   8.191
1315  261.97   73.34    0.78    0.30  6  10.316   1.123   9.193
1303  269.37   73.94    0.00    0.03  2  10.049   1.513   8.536
1304  266.44   74.00    0.34    0.09  4   9.907   1.325   8.582
1324  257.46   72.86    0.26    0.23  7  11.141   1.310   9.831
1318  261.51   73.71    0.35    0.17  4  10.511   1.448   9.063
1219  268.65   74.64    0.14    0.09  6  10.525   1.999   8.526
1220  268.01   74.91    0.30    0.16  17   9.936   1.318   8.618
1234  264.30   74.62    0.23    0.05  4   9.918   1.294   8.624
1341  247.29   70.59    0.71    0.09  17  11.594   1.011  10.583
1626  282.26   62.19    1.05    1.09  17   8.072   2.368   5.704
1631  280.79   56.66    0.01    0.00  4   3.077   2.330   0.747
1649  273.71   66.59    1.52    0.34  9   7.729   2.903   4.826
1658  275.22   68.82    0.89    0.35  9   7.478   2.541   4.937
1618  291.64   58.05    1.70    0.57  5   7.476   2.394   5.082
1489  276.89   70.02    0.00    0.00  1   2.925   2.925   0.000
1490  275.00   70.13    0.60    0.06  8   6.855   2.104   4.751
1485  282.34   70.20    0.87    0.35  12   6.305   2.465   3.840
1454  294.23   66.14    0.36    0.03  12   9.773   2.533   7.240
1496  273.44   70.95    0.25    0.08  6   7.926   2.492   5.434
1500  272.48   71.14    0.67    0.25  10   8.356   2.022   6.334
1498  274.28   71.12    0.23    0.05  8   4.842   2.042   2.800
1666  263.94   70.40    0.74    0.07  4   9.455   2.105   7.350
1434  289.98   69.62    0.01    0.01  11   8.717   2.764   5.953
1433  289.64   69.88    0.88    0.38  17   9.410   2.717   6.693
1443  293.26   68.34    0.61    0.55  9  10.158   2.152   8.006
1503  270.11   72.04    0.49    0.18  16  10.326   2.052   8.274
1423  282.01   71.80    0.63    0.16  4   7.192   2.734   4.458
1426  285.11   71.36    0.88    0.32  12   9.701   2.848   6.853
1451  297.23   67.00    0.00    0.00  1   2.612   2.612   0.000
1505  270.32   72.59    0.34    0.26  18  10.861   2.824   8.037
1317  262.11   74.01    0.53    0.19  3  10.126   2.236   7.890
1320  260.14   73.69    1.12    0.17  6  12.088   2.904   9.184
1235  262.46   74.54    0.37    0.08  5  10.401   2.098   8.303
4052  291.32   48.37    0.81    0.38  40  14.762   2.445  12.317
4053  292.26   48.76    0.91    0.39  31  15.068   2.023  13.045
4051  290.49   47.83    0.66    0.52  24  13.489   2.490  10.999
1354  255.09   73.50    0.70    0.51  5  10.488   2.582   7.906
1335  244.05   69.34    0.75    0.11  21  10.846   2.073   8.773
1605  301.36   54.20    0.99    0.33  4  11.845   2.451   9.394
4054  293.65   49.16    0.37    0.08  10  16.563   2.304  14.259
4050  289.50   47.05    0.86    0.70  38  13.052   2.600  10.452
1212  275.44   75.66    0.29    0.14  13  10.696   2.533   8.163
1339  244.62   70.25    0.64    0.06  13  11.578   2.058   9.520
1223  268.21   75.63    0.45    0.06  3   8.739   2.392   6.347
4056  294.70   49.24    0.41    0.04  21  15.291   2.547  12.744
1243  262.75   75.51    0.03    0.02  2   2.580   2.198   0.382
1604  302.52   54.48    0.59    0.29  14   9.505   2.178   7.327
1337  242.77   69.95    0.25    0.19  21  12.786   2.559  10.227
1238  261.25   75.79    3.34    0.48  14  10.557   2.863   7.694
1146  272.44   76.40    0.13    0.04  8  10.404   2.456   7.948
1144  274.92   76.49    0.20    0.25  6  10.146   2.848   7.298
1350  245.98   72.97    0.75    0.72  9  13.055   2.203  10.852
1226  266.49   76.37    0.69    0.14  6   9.187   2.026   7.161
1204  267.67   76.57    0.35    0.08  3   9.042   2.573   6.469
1202  265.52   76.92    0.64    0.11  7   9.498   2.061   7.437
1201  264.65   76.99    0.15    0.09  4   9.414   2.618   6.796
1136  278.25   77.29    2.24    0.31  26  10.320   2.024   8.296
1347  241.10   71.76    0.50    0.28  8  13.032   2.014  11.018
4061  294.84   47.55    1.29    0.84  16  14.833   2.222  12.611
1250  251.72   76.07    1.87    0.63  8  10.782   2.092   8.690
1246  258.70   76.81    0.00    0.00  1   2.732   2.732   0.000
1151  273.35   77.85    0.82    0.06  6   9.459   2.347   7.112
4026  302.66   51.46    0.55    0.08  16  10.360   2.328   8.032
1641  272.42   55.24    1.42    1.17  4   7.980   3.212   4.768
1480  282.96   63.52    0.51    0.16  3   8.569   3.362   5.207
1655  274.70   69.70    0.24    0.09  7   9.625   3.081   6.544
1669  262.22   68.37    0.00    0.00  1   3.594   3.594   0.000
1499  273.53   71.09    0.54    0.16  7   7.581   3.211   4.370
1440  290.68   68.85    0.50    0.16  6   6.908   3.388   3.520
5142  289.70   52.74    0.00    0.30  4   6.277   3.803   2.474
1439  290.93   68.96    0.10    0.03  5  10.023   3.703   6.320
1435  291.60   69.50    1.29    0.08  5   9.660   3.958   5.702
1639  276.34   51.47    2.25    0.86  4   8.276   4.411   3.865
1482  287.65   65.60    1.65    0.71  4   7.485   4.855   2.630
1638  277.46   50.27    2.75    0.57  15   8.464   4.631   3.833
1657  275.81   69.68    1.23    0.47  7   7.204   4.080   3.124
1470  293.66   62.36    0.58    0.40  28  11.031   4.722   6.309
1637  281.64   50.60    1.99    0.61  9   7.729   4.227   3.502
1492  273.34   70.04    0.22    0.08  8   6.958   4.720   2.238
5144  289.25   53.51    0.00    0.00  2   8.826   4.482   4.344
1486  280.75   70.57    0.00    0.00  1   4.847   4.847   0.000
1441  291.36   68.74    0.03    0.07  5  10.360   4.116   6.244
1442  291.66   68.56    0.81    0.10  6   9.289   4.058   5.231
1430  288.46   70.09    0.42    0.27  6   8.162   4.035   4.127
1611  297.09   58.11    0.58    0.23  2   7.373   4.722   2.651
1479  283.50   64.37    0.95    0.57  6   8.646   5.831   2.815
1656  274.77   69.37    0.36    0.33  12   9.813   5.250   4.563
1646  277.00   62.50    0.00    0.00  1   6.375   6.375   0.000
1627  280.00   62.00    0.00    0.00  3   7.722   6.971   0.751
1481  282.01   63.32    0.25    0.31  6   8.019   6.426   1.593
1648  269.77   66.17    0.00    0.00  1   6.015   6.015   0.000
1668  263.70   66.13    0.00    0.00  1   6.604   6.604   0.000
1477  289.55   62.62    0.40    0.12  8   8.871   6.981   1.890
1650  277.79   67.88    0.15    0.06  3   7.472   6.765   0.707
1659  274.24   68.24    0.02    0.06  2   6.975   6.606   0.369
1651  277.30   68.15    0.50    0.28  3   7.320   6.404   0.916
1491  273.88   70.12    0.00    0.00  1   6.381   6.381   0.000
1459  294.95   63.67    0.10    0.24  4  10.257   6.268   3.989
1438  291.66   68.98    0.69    0.06  3   9.611   6.211   3.400
1448  295.00   67.38    0.00    0.00  2   7.087   6.863   0.224
1308  262.64   71.63    0.02    0.07  4   9.413   6.963   2.450
1431  291.11   70.46    0.57    0.57  9  13.378   6.135   7.243
1467  282.25   63.95    0.00    0.00  1   7.931   7.931   0.000
1661  269.32   69.03    1.29    0.39  3  10.236   7.950   2.286
1501  271.35   71.31    0.36    0.02  2   8.752   7.162   1.590
1436  291.85   69.30    0.07    0.02  4  10.045   7.838   2.207
1432  291.30   69.95    0.43    0.18  5   9.118   7.327   1.791
1424  283.67   71.75    0.00    0.00  1   7.358   7.358   0.000
1417  278.77   72.30    0.11    0.08  5   8.335   7.289   1.046
1425  285.73   71.91    0.09    0.02  3   8.846   7.893   0.953
1411  274.96   73.05    0.05    0.00  7  18.880   7.567  11.313
1412  275.71   73.16    0.14    0.11  2   9.732   7.583   2.149
1416  280.91   73.02    3.66    0.41  5  11.053   7.192   3.861
1403  274.88   73.63    0.01    0.00  2  10.761   7.771   2.990
1401  272.95   73.78    0.21    0.08  9  10.575   7.670   2.905
4031  293.64   50.24    1.34    0.60  34  12.176   7.280   4.896
4035  288.58   48.46    1.59    0.31  19  11.686   7.836   3.850
1608  300.27   55.19    2.12    0.14  4  11.810   7.287   4.523
1233  265.15   74.72    0.32    0.07  23  10.210   7.304   2.906
1679  244.74   68.41    0.60    0.37  15  12.922   7.827   5.095
1681  243.72   68.73    1.52    0.14  8  11.900   7.751   4.149
1478  288.65   63.08    0.00    0.00  1   8.381   8.381   0.000
1475  291.53   62.27    0.36    0.06  3   9.195   8.297   0.898
1462  291.80   63.24    0.38    0.05  10  10.025   8.303   1.722
1474  292.21   62.22    0.13    0.01  2   8.847   8.035   0.812
1473  292.63   62.13    0.02    0.01  4  10.563   8.548   2.015
1464  293.52   63.06    0.02    0.02  4  10.436   8.904   1.532
1670  257.17   66.90    1.29    0.16  2   8.576   8.220   0.356
1615  295.59   59.91    0.43    0.30  7   9.931   8.679   1.252
1673  252.75   67.34    0.66    0.17  2   8.745   8.710   0.035
1450  295.35   66.95    0.00    0.00  1   8.210   8.210   0.000
1427  287.12   71.35    0.00    0.00  1   8.914   8.914   0.000
1327  254.98   69.95    0.48    0.28  5   9.359   8.563   0.796
1420  279.84   72.45    0.69    0.01  2  10.569   8.008   2.561
1428  288.14   71.44    0.95    0.40  3  11.387   8.434   2.953
1330  251.92   70.30    3.50    0.40  2  10.609   8.631   1.978
1402  274.53   73.82    0.30    0.00  10  10.943   8.979   1.964
1677  246.61   67.66    0.34    0.03  4  11.285   8.304   2.981
1334  246.65   69.19    1.87    0.26  3  10.057   8.116   1.941
4032  291.80   49.27    0.30    0.29  26  11.882   8.191   3.691
1217  271.58   74.80    0.00    0.09  2   9.414   8.905   0.509
4033  291.12   48.83    0.00    0.00  6   9.964   8.366   1.598
1218  269.42   74.90    0.00    0.00  1   8.751   8.751   0.000
1606  299.55   53.39    0.60    0.27  2   8.258   8.154   0.104
1232  263.97   75.03    0.00    0.00  1   8.399   8.399   0.000
1211  274.39   75.56    0.42    0.02  6   8.757   8.275   0.482
1342  245.71   70.71    0.72    0.07  6  10.956   8.296   2.660
4049  289.11   46.90    0.12    0.29  5  12.842   8.571   4.271
4039  284.24   45.49    1.25    0.43  45  13.437   8.473   4.964
4055  294.22   49.22    0.54    0.07  44  15.691   8.020   7.671
1213  276.19   75.78    0.38    0.03  12  10.521   8.604   1.917
1236  263.10   75.37    0.34    0.06  5   9.886   8.000   1.886
1224  268.79   75.76    0.00    0.00  1   8.844   8.844   0.000
4044  286.08   45.62    0.68    0.49  24  13.078   8.937   4.141
1336  243.21   69.67    0.65    0.13  9  12.213   8.828   3.385
4029  295.78   49.83    0.37    0.22  14  16.423   8.589   7.834
1139  280.97   75.88    0.00    0.00  8   9.865   8.419   1.446
4042  285.25   45.14    1.25    0.48  19  13.324   8.378   4.946
1225  267.64   76.06    0.05    0.03  3   8.752   8.362   0.390
4045  286.85   45.40    1.39    0.47  25  12.989   8.126   4.863
4043  285.56   45.42    1.04    0.51  24  13.110   8.495   4.615
1241  257.67   75.58    0.86    0.07  4  10.719   8.640   2.079
4059  293.84   48.12    0.95    0.18  12  14.881   8.293   6.588
1227  264.66   76.38    0.70    0.01  4   9.209   8.061   1.148
1603  302.72   53.73    0.30    0.21  2   8.667   8.383   0.284
1205  269.51   76.77    0.00    0.00  1   8.051   8.051   0.000
1141  277.78   76.83    1.03    0.07  2   9.270   8.908   0.362
1149  271.66   77.03    1.27    0.18  2   9.218   8.266   0.952
1240  259.95   76.45    0.00    0.00  5   8.836   8.114   0.722
2010  286.88   76.72    0.11    0.00  4  10.033   8.526   1.507
1152  274.62   77.29    0.00    0.00  1   8.490   8.490   0.000
1239  260.62   76.32    3.23    0.63  24  10.823   8.126   2.697
1150  270.05   77.27    0.00    0.00  1   8.420   8.420   0.000
4027  301.30   51.37    0.00    0.00  1   8.052   8.052   0.000
1154  275.10   77.56    0.72    0.08  3   8.907   8.447   0.460
1135  278.30   77.56    0.42    0.16  7   9.197   8.090   1.107
1192  265.10   77.67    1.20    0.27  8   9.796   8.069   1.727
1155  274.89   78.17    1.30    0.43  7   9.415   8.210   1.205
1156  273.83   78.26    1.65    0.26  11   9.405   8.450   0.955
4065  296.04   46.75    1.64    0.80  7  14.904   8.092   6.812
1601  303.22   51.55    0.47    0.28  11  13.250   8.019   5.231
1189  262.73   78.45    2.84    0.77  8  10.065   8.174   1.891
1180  268.53   78.22    0.06    0.01  2   9.408   8.453   0.955
1190  258.84   78.31    4.73    1.30  18  10.995   8.108   2.887
1157  273.12   78.57    0.55    0.13  3   9.684   8.769   0.915
1178  270.67   78.34    0.87    0.35  2   9.158   8.876   0.282
4080  293.07   45.07    0.78    0.57  10  15.644   8.753   6.891
4025  302.72   50.55    0.53    0.65  13  14.683   8.637   6.046
1248  254.90   77.41    0.95    0.37  3  10.534   8.721   1.813
1159  277.50   78.77    1.91    0.41  4   8.230   8.087   0.143
4001  304.11   51.37    1.34    0.53  20  12.702   8.125   4.577
1256  243.27   75.39    1.70    0.16  2  13.317   8.735   4.582
1158  274.81   78.84    2.66    0.20  4   8.678   8.059   0.619
1133  285.36   78.65    0.91    0.25  19   9.735   8.032   1.703
4087  290.33   43.81    1.31    0.71  14  10.438   8.689   1.749
4085  290.19   43.71    0.40    0.10  12  10.438   8.689   1.749
4024  302.22   49.93    0.27    0.27  11  14.690   8.480   6.210
4068  298.23   47.26    0.19    0.06  8  13.588   8.303   5.285
1176  272.39   79.41    0.58    0.82  2   8.273   8.127   0.146
4063  295.29   45.75    0.55    0.53  5  12.435   8.339   4.096
1132  283.99   78.87    0.57    0.00  2   8.424   8.163   0.261
1183  266.13   79.02    0.00    0.00  1   8.907   8.907   0.000
1184  268.05   79.16    1.13    0.05  3   9.025   8.261   0.764
1185  269.83   79.27    0.16    0.02  5   9.025   8.037   0.988
1129  284.50   79.06    0.00    0.00  1   8.194   8.194   0.000
1187  268.38   79.36    0.34    0.04  4   8.969   8.078   0.891
1186  269.21   79.39    0.52    0.07  6   9.726   8.185   1.541
1259  246.20   77.13    0.00    0.00  1   8.697   8.697   0.000
1175  272.55   79.52    0.00    0.00  1   8.441   8.441   0.000
4088  289.37   42.93    0.35    0.37  15  15.736   8.926   6.810
4021  301.21   48.57    0.74    0.30  41  16.270   8.144   8.126
1161  278.91   79.65    1.15    0.18  6   9.007   8.110   0.897
1160  274.63   79.94    2.37    1.05  24   9.655   8.349   1.306
4075  295.87   45.33    1.28    0.71  12  15.297   8.017   7.280
1162  278.06   79.94    1.04    0.08  3   8.406   8.090   0.316
1163  277.53   80.15    0.50    0.15  3   9.510   8.542   0.968
1174  270.84   80.38    2.42    0.28  6   9.379   8.367   1.012
4074  296.51   44.67    1.21    0.84  13  16.388   8.285   8.103
1164  278.99   80.41    1.80    0.12  8   9.192   8.149   1.043
4112  286.79   40.88    1.23    0.23  4   8.997   8.347   0.650
4110  286.59   40.83    1.22    0.10  3   8.997   8.874   0.123
4107  285.99   40.73    0.00    0.04  8  10.863   8.521   2.342
4108  285.99   40.73    0.00    0.04  8  10.863   8.521   2.342
4109  287.40   41.02    0.00    0.00  1   8.347   8.347   0.000
1165  280.85   80.60    1.05    0.00  3   9.687   8.173   1.514
4093  289.07   41.37    0.27    0.18  7  10.534   8.454   2.080
4094  289.07   41.37    0.27    0.18  7  10.534   8.454   2.080
1173  268.68   80.83    1.53    0.38  3   8.839   8.047   0.792
4114  285.72   40.42    0.03    0.04  2   8.625   8.132   0.493
4117  285.76   39.73    0.18    1.03  7   9.140   8.132   1.008
1171  271.26   81.05    2.86    0.09  12   9.832   8.197   1.635
1170  274.85   81.08    0.15    0.00  2   9.227   8.638   0.589
1172  270.39   81.22    1.22    0.22  3   9.170   8.769   0.401
1686  227.35   69.30    7.17    1.76  25  16.911   8.199   8.712
4073  299.97   44.11    0.73    1.07  6  10.664   8.429   2.235
4115  285.81   39.50    0.23    0.25  4   9.872   8.157   1.715
1102  275.12   81.92    1.69    0.21  13   9.117   8.008   1.109
1687  225.43   69.95    2.50    0.33  7  10.761   8.521   2.240
1101  273.26   81.98    1.75    0.18  6   9.393   8.284   1.109
4121  284.61   39.06    0.00    0.00  1   8.653   8.653   0.000
4120  284.61   39.06    0.00    0.00  1   8.653   8.653   0.000
1103  278.05   82.03    0.00    0.01  3   9.103   8.338   0.765
1104  274.07   82.25    1.25    0.13  4   9.754   8.266   1.488
4118  284.98   38.65    0.00    0.00  1   8.284   8.284   0.000
4012  305.88   47.03    0.00    0.00  1   8.449   8.449   0.000
4011  306.34   46.99    0.08    0.18  2   8.419   8.408   0.011
4123  283.76   38.16    0.18    0.86  7  10.523   8.664   1.859
3054  237.14   49.14    1.05    0.39  67  15.684   8.108   7.576
3051  237.27   49.14    0.80    0.30  17  14.640   8.170   6.470
3049  234.98   49.93    0.30    0.50  11  14.600   8.673   5.927
3050  235.62   49.43    0.40    0.20  11  14.250   8.114   6.136
3038  229.82   54.32    0.45    0.34  12  14.968   8.524   6.444
3043  232.16   52.00    0.10    0.36  4  10.314   8.655   1.659
3035  228.40   55.39    0.56    0.31  7  15.266   8.544   6.722
3061  237.30   47.87    0.00    0.00  1   8.420   8.420   0.000
3027  225.44   58.36    0.25    0.14  12  14.774   8.031   6.743
3036  229.07   54.47    0.12    0.02  6  14.417   8.895   5.522
3057  236.52   48.49    0.30    0.30  18  14.965   8.575   6.390
3044  232.64   51.12    0.30    0.20  5   9.933   8.018   1.915
3032  226.57   56.00    0.52    0.58  9   9.755   8.169   1.586
4129  284.45   35.77    0.39    0.69  4   8.654   8.154   0.500
4127  284.48   36.09    0.39    0.13  2   8.654   8.595   0.059
3025  224.05   58.89    0.17    0.10  2  15.563   8.663   6.900
3047  234.80   48.90    0.00    0.00  2   8.978   8.385   0.593
3033  226.48   55.62    0.00    0.00  3  14.609   8.165   6.444
3041  228.05   53.62    0.77    1.38  16  18.410   8.202  10.208
3034  226.38   55.44    0.05    0.12  3   9.124   8.788   0.336
4010  311.05   45.65    0.39    2.20  2  14.682   8.312   6.370
4128  284.43   35.46    0.00    0.00  2   8.623   8.154   0.469
3060  236.00   46.90    0.00    0.00  3   8.933   8.343   0.590
3022  222.38   58.58    0.00    0.00  1   8.255   8.255   0.000
3042  228.83   52.57    5.42    0.93  14  14.667   8.234   6.433
3065  236.10   45.50    0.00    0.00  1   8.745   8.745   0.000
3066  236.00   44.40    0.00    0.00  1   8.297   8.297   0.000
3016  215.53   60.21    0.02    0.04  2  17.401   8.513   8.888
3017  215.47   60.20    0.00    0.00  2  14.430   8.508   5.922
1660  271.58   67.82    0.00    0.00  1   9.256   9.256   0.000
1463  293.06   63.08    0.10    0.07  3  10.360   9.719   0.641
1471  293.89   62.08    0.10    0.15  13  10.355   9.042   1.313
1458  293.30   64.78    0.00    0.00  1   9.523   9.523   0.000
1457  293.05   65.45    0.00    0.00  1   9.622   9.622   0.000
1664  266.03   71.29    0.81    0.27  3  10.055   9.965   0.090
1445  294.06   67.92    0.43    0.05  4   9.272   9.090   0.182
1504  270.20   71.77    0.00    0.00  1   9.990   9.990   0.000
1437  292.52   69.18    0.60    0.05  2  11.678   9.008   2.670
1310  263.44   72.11    0.12    0.21  3   9.928   9.371   0.557
1309  262.27   72.19    0.31    0.06  3  10.029   9.352   0.677
1325  254.55   72.13    0.00    0.00  1   9.494   9.494   0.000
1321  259.34   73.38    0.42    0.14  4  11.142   9.815   1.327
1214  276.37   74.57    0.48    0.15  19  10.957   9.040   1.917
1216  273.20   74.62    0.00    0.00  1   9.694   9.694   0.000
1215  274.43   74.69    0.02    0.00  2   9.724   9.654   0.070
1221  268.11   75.16    0.24    0.06  2   9.399   9.262   0.137
1209  270.88   75.44    1.36    0.20  3   9.705   9.341   0.364
4037  287.34   46.51    0.78    0.31  14  13.177   9.505   3.672
4036  289.60   47.49    0.27    0.29  9  13.653   9.114   4.539
1222  267.76   75.39    0.00    0.00  1   9.555   9.555   0.000
1237  260.95   75.23    2.24    0.47  9  10.183   9.139   1.044
1208  269.93   75.79    0.00    0.00  1   9.622   9.622   0.000
4048  288.36   46.70    1.78    0.53  46  13.882   9.901   3.981
1338  243.53   70.16    0.83    0.10  4  11.252   9.276   1.976
1230  265.65   75.78    0.00    0.00  1   9.277   9.277   0.000
1343  243.68   70.65    0.09    0.01  2  10.525   9.701   0.824
4028  296.40   49.58    1.52    0.73  31  16.022   9.842   6.180
1207  269.45   76.30    2.15    0.31  3  10.304   9.303   1.001
1145  273.43   76.57    0.38    0.29  3   9.734   9.146   0.588
1682  241.42   69.14    0.18    0.07  4  12.247   9.547   2.700
1142  276.62   76.62    1.01    0.40  2   9.885   9.486   0.399
1148  271.70   76.47    0.00    0.00  1   9.592   9.592   0.000
1138  280.78   76.38    0.00    0.00  1   9.997   9.997   0.000
1140  278.38   76.49    0.00    0.00  1   9.970   9.970   0.000
1147  272.33   76.66    0.20    0.08  4   9.957   9.117   0.840
1344  242.17   70.76    0.16    0.08  7  12.724   9.378   3.346
1228  264.47   76.58    0.00    0.00  1   9.112   9.112   0.000
1244  257.55   76.07    2.04    0.38  5  10.918   9.333   1.585
1203  266.46   76.77    0.00    0.00  1   9.264   9.264   0.000
1345  241.85   71.05    0.48    0.19  10  12.846   9.501   3.345
1137  282.20   76.80    0.00    0.01  2  10.077   9.692   0.385
1253  249.15   74.69    3.93    0.51  13  13.315   9.326   3.989
1249  250.02   75.62    2.29    0.19  2   9.520   9.066   0.454
2009  289.00   76.93    0.16    0.01  2  10.169   9.945   0.224
1177  271.26   78.35    0.00    0.00  1   9.202   9.202   0.000
1191  258.38   77.75    0.00    0.00  1   9.577   9.577   0.000
1181  267.01   78.59    0.43    0.16  3   9.504   9.369   0.135
4084  291.15   44.41    0.00    0.00  2   9.271   9.262   0.009
